Country,ISO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Belize,BLZ,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Benin,BEN,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Bhutan,BTN,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Bolivia,BOL,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Bosnia and Herzegovina,BIH,1,1,0,0,1,1,1,1,1,1,1,1,1,,0,,1,,1,,,,1,,1,0,,1,1,1,1,,1,,1,1,1,1,1,,1,,1
Botswana,BWA,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Brazil,BRA,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Bulgaria,BGR,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Burkina Faso,BFA,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Burundi,BDI,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Cambodia,KHM,1,0,0,0,1,1,0,0,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Cameroon,CMR,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Canada,CAN,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Cabo Verde,CPV,1,1,0,0,1,1,0,0,1,1,1,1,0,,0,,0,,1,,,,1,,1,1,,0,1,1,1,,1,,No data,1,1,1,1,,1,,1
Central African Republic,CAF,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Chad,TCD,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Chile,CHL,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Colombia,COL,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Comoros,COM,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
"Congo, Dem. Rep.",COD,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,0,0,1,1,0,,0,,1
Croatia,HRV,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,,0,,0,,0,,,,0,,0,No data,,0,1,No data,No data,,1,,No data,1,1,1,1,,No data,,1
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,0,0,1,1,0,,0,,1
Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,0,0,1,1,0,,0,,1
Côte d'Ivoire,CIV,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Denmark,DNK,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,0,,0,0,,0,1,1,0,,0,,0,0,0,0,0,,0,,1
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,0,0,1,1,0,,0,,1
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,0,,0,0,,0,1,1,0,,0,,0,0,0,0,0,,0,,1
Dominican Republic,DOM,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,No data,1,0,0,0,,0,,0
Ecuador,ECU,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
"Egypt, Arab Rep.",EGY,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Equatorial Guinea,GNQ,1,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,1,1,1,1,1,,1,,1
Estonia,EST,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
Ethiopia,ETH,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
Fiji,FJI,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
Finland,FIN,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
France,FRA,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
Gabon,GAB,1,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,1,,0,1,1,0,,0,,1,0,0,0,0,,0,,1
"Gambia, The",GMB,1,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,1,1,1,1,1,,1,,1
Georgia,GEO,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Germany,DEU,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,0,0,1,1,0,,0,,1
Ghana,GHA,1,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,1,1,1,1,1,,1,,1
Greece,GRC,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Grenada,GRD,1,1,0,1,0,1,0,1,0,0,1,1,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,1,1,1,1,0,,1,,1
Guatemala,GTM,1,1,0,1,0,1,0,1,0,0,1,1,0,,0,,0,,0,,,,1,,1,1,,0,1,1,0,,0,,1,1,1,1,0,,1,,1
Guinea,GIN,1,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,1,1,1,1,1,,1,,1
Guinea-Bissau,GNB,1,0,0,0,1,0,0,0,1,0,1,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,1,1,1,1,1,,1,,1
Guyana,GUY,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,,0,,0,,0,,,,0,,0,No data,,0,1,No data,No data,,1,,No data,1,1,1,1,,No data,,1
Haiti,HTI,No data,No data,No data,No data,No data,No data,No data,No data,0,0,No data,1,No data,,1,,1,,1,,,,0,,1,1,,0,No data,1,0,,0,,0,1,1,No data,1,,1,,1
Honduras,HND,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,,0,,0,,0,,,,0,,0,No data,,0,1,No data,No data,,1,,No data,1,1,1,1,,No data,,1
Hungary,HUN,1,0,1,0,1,0,0,0,1,0,1,1,0,,0,,0,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Iceland,ISL,1,1,0,0,0,0,0,0,0,0,1,0,1,,0,,1,,1,,,,1,,1,1,,1,1,1,0,,1,,1,1,1,1,1,,1,,1
India,IND,1,1,0,0,0,0,1,0,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,1,0,,0,,1,1,1,1,1,,1,,1
Indonesia,IDN,1,1,0,0,0,0,1,0,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,1,0,,0,,1,1,1,1,1,,1,,1
"Iran, Islamic Rep.",IRN,1,1,0,0,0,0,0,0,0,0,1,0,1,,0,,1,,1,,,,1,,1,1,,1,1,1,0,,1,,1,1,1,1,1,,1,,1
Iraq,IRQ,1,1,0,0,0,0,0,0,0,0,1,0,1,,0,,1,,1,,,,1,,1,1,,1,1,1,0,,1,,1,1,1,1,1,,1,,1
Ireland,IRL,1,1,0,0,0,0,0,0,0,0,1,0,1,,0,,1,,1,,,,1,,1,1,,1,1,1,0,,1,,1,1,1,1,1,,1,,1
Israel,ISR,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Italy,ITA,0,0,0,0,1,1,0,0,0,0,1,1,1,,0,,0,,0,,,,1,,1,1,,1,1,1,1,,1,,1,1,1,1,1,,1,,1
Jamaica,JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,0,,0,0,,0,1,No data,0,,1,,0,0,1,1,0,,0,,1
Japan,JPN,1,1,0,1,1,1,0,1,0,1,1,1,1,,0,,1,,1,,,,1,,1,1,,0,1,1,0,,1,,1,0,1,1,1,,1,,1
Jordan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,0,,0,0,,0,1,No data,0,,1,,0,0,1,1,0,,0,,1
Kazakhstan,KAZ,1,1,0,0,0,0,0,0,1,1,1,1,0,,0,,0,,1,,,,0,,1,0,,0,1,1,0,,1,,1,1,1,1,1,,1,,1
Kenya,KEN,1,0,0,0,1,1,0,0,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Kiribati,KIR,No data,No data,0,No data,0,No data,0,No data,0,No data,No data,0,0,,0,,0,,0,,,,No data,,No data,0,,0,1,0,0,,No data,,0,0,No data,0,0,,1,,1
"Korea, Rep.",KOR,1,1,1,1,1,1,1,1,1,0,1,1,1,,0,,1,,1,,,,1,,1,1,,1,1,1,1,,1,,1,1,1,1,1,,1,,1
Kyrgyz Republic,KGZ,1,0,0,0,1,1,0,0,1,1,1,1,1,,1,,1,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Latvia,LVA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Lebanon,LBN,0,1,0,0,0,0,0,0,0,1,1,0,1,,0,,0,,0,,,,0,,0,0,,0,1,1,0,,1,,0,0,1,0,1,,1,,1
Lesotho,LSO,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Liberia,LBR,0,1,0,0,0,0,0,0,0,1,1,0,1,,0,,0,,0,,,,0,,0,0,,0,1,1,0,,1,,0,0,1,0,1,,1,,1
Libya,LBY,1,1,0,0,0,0,0,0,1,1,1,0,0,,0,,0,,0,,,,0,,1,0,,0,1,1,1,,1,,0,1,1,1,1,,1,,1
Liechtenstein,LIE,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Lithuania,LTU,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Luxembourg,LUX,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
"Macedonia, FYR",MKD,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Madagascar,MDG,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Malawi,MWI,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Malaysia,MYS,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Maldives,MDV,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Mali,MLI,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Malta,MLT,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Marshall Islands,MHL,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Mexico,MEX,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
"Micronesia, Fed. Sts.",FSM,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
Moldova,MDA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Monaco,MCO,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Mongolia,MNG,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Montenegro,MNE,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Morocco,MAR,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Myanmar,MMR,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Namibia,NAM,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Nauru,NRU,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Nepal,NPL,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Nicaragua,NIC,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Niger,NER,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Nigeria,NGA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Norway,NOR,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Pakistan,PAK,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Palau,PLW,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Panama,PAN,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Papua New Guinea,PNG,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Peru,PER,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Philippines,PHL,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Poland,POL,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Portugal,PRT,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
"Congo, Rep.",COG,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Romania,ROU,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Rwanda,RWA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
St. Kitts and Nevis,KNA,No data,No data,0,No data,0,No data,0,No data,0,No data,No data,0,0,,0,,0,,0,,,,No data,,No data,0,,0,1,0,0,,No data,,0,0,No data,0,0,,1,,1
St. Lucia,LCA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
St. Vincent and the Grenadines,VCT,1,1,0,1,0,1,0,1,1,1,No data,1,1,,1,,1,,1,,,,1,,1,1,,0,1,No data,0,,0,,1,0,0,1,1,,1,,1
Samoa,WSM,1,1,0,0,1,1,0,0,1,1,1,1,0,,0,,0,,0,,,,0,,1,0,,0,0,1,0,,0,,1,1,1,0,1,,1,,1
San Marino,SMR,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
São Tomé and Principe,STP,1,1,1,1,1,1,No data,1,1,No data,No data,1,1,,No data,,1,,1,,,,No data,,No data,1,,0,No data,No data,1,,0,,1,1,No data,1,No data,,1,,1
Senegal,SEN,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Serbia,SRB,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Seychelles,SYC,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,0,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,0
Sierra Leone,SLE,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Singapore,SGP,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Slovak Republic,SVK,1,1,0,0,1,1,1,0,1,1,1,1,0,,0,,0,,1,,,,0,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Slovenia,SVN,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,,0,,0,,0,,,,1,,No data,No data,,0,No data,No data,0,,0,,1,1,1,1,No data,,0,,0
Solomon Islands,SLB,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
South Africa,ZAF,1,1,0,1,0,1,0,0,1,0,1,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Spain,ESP,1,1,1,1,1,1,1,1,No data,1,1,1,0,,0,,1,,0,,,,1,,1,1,,0,1,1,0,,1,,1,1,1,0,1,,1,,1
Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Sudan,SDN,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,1,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,1
Suriname,SUR,1,1,0,0,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,,1,,1,1,,0,1,1,0,,0,,1,1,1,1,1,,1,,1
Swaziland,SWZ,0,0,0,0,0,0,0,0,0,0,No data,0,0,,0,,0,,0,,,,1,,0,1,,0,1,No data,0,,0,,0,0,0,0,0,,0,,0
Sweden,SWE,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,,0,,1,,,,0,,0,1,,0,1,No data,0,,0,,1,0,0,1,1,,1,,1
Switzerland,CHE,1,1,1,1,1,1,1,1,0,0,1,1,1,,0,,1,,1,,,,1,,0,1,,0,1,No data,1,,1,,1,1,1,1,1,,1,,1
Syrian Arab Republic,SYR,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
"Taiwan, China",TWN,1,1,0,0,1,0,0,0,1,1,1,1,1,,0,,1,,1,,,,1,,1,1,,0,1,1,0,,1,,1,0,1,0,1,,1,,1
Tajikistan,TJK,1,0,0,0,0,0,0,0,1,No data,No data,No data,1,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Tanzania,TZA,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,,0,,1,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
